Flow id,Src IP,Dst IP,Dst port,Protocol,Application protocol,Duration,Received bytes,Received packets,Transmitted bytes,Transmitted packets,Total bytes,Total packets,label,family
-672838310647898280,10.0.2.61,104.22.2.110,443,tcp,tls,1041,10156,31,4312,31,14468,62,normal,-
8594350827467837674,10.0.2.61,104.22.19.181,443,tcp,tls,61956,134694,154,9772,92,144466,246,normal,-
-3041303011915459931,10.0.2.61,13.107.226.44,443,tcp,tls,21520,56600,64,5168,46,61768,110,normal,-
6341353398642513654,10.0.2.61,35.164.56.167,443,tcp,tls,190152,9066,34,4640,30,13706,64,normal,-
-5103917100927871308,10.0.2.61,65.9.95.93,443,tcp,tls,23909,24761,71,26870,67,51631,138,normal,-
-2979548638827285774,10.0.2.61,65.9.95.127,443,tcp,tls,342126,51336,70,5224,52,56560,122,normal,-
77537654481774122,10.0.2.61,104.19.187.97,443,tcp,tls,39749,52865,85,8723,69,61588,154,normal,-
-6399954608415969858,10.0.2.61,172.64.144.98,443,tcp,tls,357178,31281,116,37344,112,68625,228,normal,-
9082687302747496642,10.0.2.61,54.220.16.194,443,tcp,tls,21954,14030,28,4236,30,18266,58,normal,-
-165092619422251696,10.0.2.61,209.140.135.138,443,tcp,tls,1106,6536,12,1722,12,8258,24,normal,-
4866503864177638994,10.0.2.61,141.95.47.56,443,tcp,tls,53274,84204,108,9975,99,94179,207,normal,-
-1539118285726578887,10.0.2.61,65.9.95.68,443,tcp,tls,49696,12294,36,4162,34,16456,70,normal,-
742941350645252085,10.0.2.61,31.30.189.13,443,tcp,tls,232596,14114,46,4704,48,18818,94,normal,-
-7362551736020610499,10.0.2.61,104.22.25.150,443,tcp,tls,182102,13246,35,3772,36,17018,71,normal,-
-5631526382169356164,10.0.2.61,95.100.146.34,443,tcp,tls,20900,225418,198,12770,120,238188,318,normal,-
7919446576636900528,10.0.2.61,194.228.31.71,443,tcp,tls,106507,1485596,1104,51381,624,1536977,1728,normal,-
-6950375115881271081,10.0.2.61,3.123.222.171,443,tcp,tls,94459,145096,149,12000,133,157096,282,normal,-
-2243734826368313272,10.0.2.61,198.47.127.20,443,tcp,tls,343710,12822,40,5206,40,18028,80,normal,-
-1683929630212337952,10.0.2.61,52.58.30.104,443,tcp,tls,344032,16122,56,5582,48,21704,104,normal,-
-6147090059184373987,10.0.2.61,104.22.18.181,443,tcp,tls,464,8176,22,2812,22,10988,44,normal,-
5151065237376893161,10.0.2.61,54.73.148.110,443,tcp,tls,546,9826,22,2812,22,12638,44,normal,-
5265516599134641169,10.0.2.61,146.59.30.104,443,tcp,tls,24506,20528,46,4918,40,25446,86,normal,-
7160567274515538039,10.0.2.61,65.9.95.56,443,tcp,tls,33356,349244,268,10618,146,359862,414,normal,-
-3153546260025842385,10.0.2.61,142.251.36.134,443,tcp,tls,303262,12584,36,3830,36,16414,72,normal,-
-102003238213327873,10.0.2.61,65.9.92.135,443,tcp,tls,224572,390888,296,16900,250,407788,546,normal,-
-2449951563962137817,10.0.2.61,146.59.30.108,443,tcp,tls,50700,20392,44,4898,38,25290,82,normal,-
-2248712455201716397,10.0.2.61,52.94.236.45,443,tcp,tls,218394,36932,222,239942,224,276874,446,normal,-
-629364643572757717,10.0.2.61,194.228.31.71,80,tcp,http,25848,1923,16,1266,16,3189,32,normal,-
799591870116789045,10.0.2.61,65.9.95.97,443,tcp,tls,181466,169618,146,6522,74,176140,220,normal,-
-1062126211416012479,10.0.2.61,205.185.208.79,443,tcp,tls,341476,13634,40,4046,40,17680,80,normal,-
-5252533901205170419,10.0.2.61,65.9.95.113,443,tcp,tls,57840,19756,56,13178,50,32934,106,normal,-
-54929304444929505,10.0.2.61,68.219.88.97,443,tcp,tls,21214,15964,38,4220,34,20184,72,normal,-
4881038523734143139,10.0.2.61,65.9.95.121,443,tcp,tls,51872,19856,36,4096,34,23952,70,normal,-
-8553834744149327791,10.0.2.61,206.189.240.8,443,tcp,tls,23546,377718,306,14114,186,391832,492,normal,-
-5268659886436101424,10.0.2.61,15.236.125.10,443,tcp,tls,49762,12014,34,5712,32,17726,66,normal,-
7452121906520601040,10.0.2.61,31.30.190.250,443,tcp,tls,25150,569336,410,13816,212,583152,622,normal,-
2755222998358402150,10.0.2.61,142.251.37.102,443,tcp,tls,2984,14170,36,4664,36,18834,72,normal,-
6138025908219419566,10.0.2.61,37.252.171.53,443,tcp,tls,20760,11828,28,4438,26,16266,54,normal,-
-644849194089571040,10.0.2.61,3.66.141.4,443,tcp,tls,62652,27814,56,6496,56,34310,112,normal,-
5612273301609560029,10.0.2.61,66.211.163.14,443,tcp,tls,104104,17796,42,10962,42,28758,84,normal,-
-4220238015294885320,10.0.2.61,65.9.95.124,443,tcp,tls,25564,349078,270,14824,224,363902,494,normal,-
8331795996883836749,10.0.2.61,91.201.28.211,443,tcp,tls,22708,23970,46,4782,38,28752,84,normal,-
7256410126322798012,10.0.2.61,23.195.249.37,443,tcp,tls,107298,109462,112,8974,58,118436,170,normal,-
9037564930409657840,10.0.2.61,65.9.95.21,443,tcp,tls,50706,155044,130,6264,74,161308,204,normal,-
-4655667373945445218,10.0.2.61,51.105.197.70,443,tcp,tls,11570,10284,38,4150,34,14434,72,normal,-
8747414401733858614,10.0.2.61,77.75.78.36,443,tcp,tls,343798,19468,58,11868,58,31336,116,normal,-
8902381493111195683,10.0.2.61,104.64.173.52,443,tcp,tls,50698,16522,36,4002,34,20524,70,normal,-
2831636472805943935,10.0.2.61,194.228.31.70,80,tcp,http,27108,1920,16,1263,16,3183,32,normal,-
5473212898452110774,10.0.2.61,185.152.64.17,443,tcp,tls,29034,21952,36,4226,36,26178,72,normal,-
-5673028704427126533,10.0.2.61,3.22.184.237,443,tcp,tls,343916,19988,48,5110,46,25098,94,normal,-
5401212808561585885,10.0.2.61,142.251.36.83,443,tcp,tls,57154,12796,50,12684,48,25480,98,normal,-
-4049708246544427460,10.0.2.61,37.252.172.123,443,tcp,tls,21352,11934,30,4658,30,16592,60,normal,-
-7969622364902375117,10.0.2.61,65.9.97.248,443,tcp,tls,339968,43760,62,5204,52,48964,114,normal,-
8375499098600162360,10.0.2.61,65.9.95.23,443,tcp,tls,59136,348674,268,10188,138,358862,406,normal,-
