"FlowKey","LocalAddress","LocalPort","RemoteAddress","RemotePort","State","ProcessName","CreationTime","CurrentTime"
"TCP@192.168.111.32:3389-192.168.8.3:59937","192.168.111.32","3389","192.168.8.3","59937","Established",,"10/16/2021 4:53:52 PM","10/16/2021 5:24:25 PM"
"TCP@192.168.111.32:49360-172.217.23.206:443","192.168.111.32","49360","172.217.23.206","443","Established","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","10/16/2021 5:25:13 PM","10/16/2021 5:25:17 PM"
"TCP@192.168.111.32:50072-20.199.120.182:443","192.168.111.32","50072","20.199.120.182","443","Established",,"10/14/2021 10:36:43 PM","10/16/2021 5:24:35 PM"
"TCP@192.168.111.32:50087-204.79.197.219:443","192.168.111.32","50087","204.79.197.219","443","Established","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","10/16/2021 5:22:51 PM","10/16/2021 5:24:14 PM"
"TCP@192.168.111.32:50463-13.69.106.217:443","192.168.111.32","50463","13.69.106.217","443","Established","C:\Program Files\PowerShell\7\pwsh.exe","10/16/2021 3:25:30 AM","10/16/2021 5:24:56 PM"
"TCP@192.168.111.32:50517-23.47.212.11:443","192.168.111.32","50517","23.47.212.11","443","CloseWait","C:\Program Files\WindowsApps\Microsoft.ZuneVideo_10.21092.10731.0_x64__8wekyb3d8bbwe\Video.UI.exe","10/16/2021 12:45:42 PM","10/16/2021 5:23:53 PM"
"TCP@192.168.111.32:51004-172.217.23.202:443","192.168.111.32","51004","172.217.23.202","443","Established","C:\Program Files\Google\Drive File Stream\51.0.16.0\GoogleDriveFS.exe","10/16/2021 5:20:55 PM","10/16/2021 5:24:25 PM"
"TCP@192.168.111.32:53501-172.217.23.202:443","192.168.111.32","53501","172.217.23.202","443","Established","C:\Program Files\Google\Drive File Stream\51.0.16.0\GoogleDriveFS.exe","10/15/2021 11:49:32 PM","10/16/2021 5:24:35 PM"
"TCP@192.168.111.32:54974-69.173.144.143:443","192.168.111.32","54974","69.173.144.143","443","Established","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","10/16/2021 5:15:59 PM","10/16/2021 5:23:53 PM"
"TCP@192.168.111.32:55716-65.9.98.95:443","192.168.111.32","55716","65.9.98.95","443","Established","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","10/16/2021 5:21:30 PM","10/16/2021 5:24:46 PM"
"TCP@192.168.111.32:56607-20.199.120.151:443","192.168.111.32","56607","20.199.120.151","443","Established","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","10/15/2021 10:45:52 AM","10/16/2021 5:23:53 PM"
"TCP@192.168.111.32:57019-52.166.127.37:9354","192.168.111.32","57019","52.166.127.37","9354","Established","C:\Program Files\Microsoft Visual Studio\2022\Preview\Common7\ServiceHub\Hosts\ServiceHub.Host.CLR.x86\ServiceHub.SettingsHost.exe","10/15/2021 10:30:29 PM","10/16/2021 5:24:46 PM"
"TCP@192.168.111.32:57724-195.113.232.73:443","192.168.111.32","57724","195.113.232.73","443","Established","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","10/16/2021 5:22:51 PM","10/16/2021 5:25:07 PM"
"TCP@192.168.111.32:57845-20.54.232.160:443","192.168.111.32","57845","20.54.232.160","443","Established","C:\WINDOWS\system32\svchost.exe","10/16/2021 5:23:50 PM","10/16/2021 5:24:14 PM"
"TCP@192.168.111.32:57894-13.69.106.215:443","192.168.111.32","57894","13.69.106.215","443","Established","C:\Program Files\PowerShell\7\pwsh.exe","10/16/2021 5:24:13 PM","10/16/2021 5:24:56 PM"
"TCP@192.168.111.32:58329-192.168.111.20:22","192.168.111.32","58329","192.168.111.20","22","Established","C:\Windows\System32\OpenSSH\ssh.exe","10/16/2021 4:57:42 PM","10/16/2021 5:25:17 PM"
"TCP@192.168.111.32:58544-65.9.94.128:443","192.168.111.32","58544","65.9.94.128","443","Established","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","10/16/2021 5:15:59 PM","10/16/2021 5:24:14 PM"
"TCP@192.168.111.32:58858-69.173.144.143:443","192.168.111.32","58858","69.173.144.143","443","Established","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","10/16/2021 5:15:59 PM","10/16/2021 5:24:14 PM"
"TCP@192.168.111.32:60379-104.26.6.39:443","192.168.111.32","60379","104.26.6.39","443","Established","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","10/16/2021 5:15:59 PM","10/16/2021 5:24:04 PM"
"TCP@192.168.111.32:60770-20.199.120.151:443","192.168.111.32","60770","20.199.120.151","443","Established","C:\Users\Rysavy\AppData\Local\Microsoft\OneDrive\OneDrive.exe","10/16/2021 2:43:49 PM","10/16/2021 5:24:25 PM"
