"FlowKey","LocalAddress","LocalPort","RemoteAddress","RemotePort","State","ProcessName","CreationTime","CurrentTime"
"TCP@192.168.111.32:3389-192.168.8.3:59937","192.168.111.32","3389","192.168.8.3","59937","Established",,"10/16/2021 4:53:52 PM","10/16/2021 5:32:49 PM"
"TCP@192.168.111.32:50072-20.199.120.182:443","192.168.111.32","50072","20.199.120.182","443","Established",,"10/14/2021 10:36:43 PM","10/16/2021 5:33:42 PM"
"TCP@192.168.111.32:50463-13.69.106.217:443","192.168.111.32","50463","13.69.106.217","443","Established","C:\Program Files\PowerShell\7\pwsh.exe","10/16/2021 3:25:30 AM","10/16/2021 5:34:24 PM"
"TCP@192.168.111.32:50517-23.47.212.11:443","192.168.111.32","50517","23.47.212.11","443","CloseWait","C:\Program Files\WindowsApps\Microsoft.ZuneVideo_10.21092.10731.0_x64__8wekyb3d8bbwe\Video.UI.exe","10/16/2021 12:45:42 PM","10/16/2021 5:33:42 PM"
"TCP@192.168.111.32:51004-172.217.23.202:443","192.168.111.32","51004","172.217.23.202","443","CloseWait","C:\Program Files\Google\Drive File Stream\51.0.16.0\GoogleDriveFS.exe","10/16/2021 5:20:55 PM","10/16/2021 5:30:54 PM"
"TCP@192.168.111.32:53501-172.217.23.202:443","192.168.111.32","53501","172.217.23.202","443","Established","C:\Program Files\Google\Drive File Stream\51.0.16.0\GoogleDriveFS.exe","10/15/2021 11:49:32 PM","10/16/2021 5:33:10 PM"
"TCP@192.168.111.32:54739-216.58.201.74:443","192.168.111.32","54739","216.58.201.74","443","Established","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","10/16/2021 5:34:33 PM","10/16/2021 5:34:55 PM"
"TCP@192.168.111.32:56607-20.199.120.151:443","192.168.111.32","56607","20.199.120.151","443","Established","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","10/15/2021 10:45:52 AM","10/16/2021 5:32:39 PM"
"TCP@192.168.111.32:57019-52.166.127.37:9354","192.168.111.32","57019","52.166.127.37","9354","Established","C:\Program Files\Microsoft Visual Studio\2022\Preview\Common7\ServiceHub\Hosts\ServiceHub.Host.CLR.x86\ServiceHub.SettingsHost.exe","10/15/2021 10:30:29 PM","10/16/2021 5:35:06 PM"
"TCP@192.168.111.32:57277-204.79.197.219:443","192.168.111.32","57277","204.79.197.219","443","Established","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","10/16/2021 5:33:10 PM","10/16/2021 5:33:21 PM"
"TCP@192.168.111.32:57724-195.113.232.73:443","192.168.111.32","57724","195.113.232.73","443","Established","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","10/16/2021 5:22:51 PM","10/16/2021 5:30:22 PM"
"TCP@192.168.111.32:57894-13.69.106.215:443","192.168.111.32","57894","13.69.106.215","443","Established","C:\Program Files\PowerShell\7\pwsh.exe","10/16/2021 5:24:13 PM","10/16/2021 5:34:55 PM"
