type,key,value,reliability,validity,details
ip_dependency_server,10.100.30.112,10.100.30.242,1,"[""2023-03-10 18:26:02"",""2023-03-10 18:26:02""]","{""src"": ""dependency_mapping"", ""port"": ""5555"", ""num_packets"": 279}"
ip_dependency_client,10.100.30.242,10.100.30.112,1,"[""2023-03-10 18:26:02"",""2023-03-10 18:26:02""]","{""src"": ""dependency_mapping"", ""port"": ""5555"", ""num_packets"": 279}"
ip_dependency_server,192.168.55.120,192.168.3.70,1,"[""2023-03-10 18:26:04"",""2023-03-10 18:26:14""]","{""src"": ""dependency_mapping"", ""port"": ""9080"", ""num_packets"": 53}"
ip_dependency_client,192.168.3.70,192.168.55.120,1,"[""2023-03-10 18:26:04"",""2023-03-10 18:26:14""]","{""src"": ""dependency_mapping"", ""port"": ""9080"", ""num_packets"": 53}"
ip_dependency_server,192.168.3.70,10.100.7.30,1,"[""2023-03-10 18:26:06"",""2023-03-10 18:26:06""]","{""src"": ""dependency_mapping"", ""port"": ""443"", ""num_packets"": 83}"
ip_dependency_client,10.100.7.30,192.168.3.70,1,"[""2023-03-10 18:26:06"",""2023-03-10 18:26:06""]","{""src"": ""dependency_mapping"", ""port"": ""443"", ""num_packets"": 83}"
ip_dependency_server,192.168.3.70,10.100.46.22,1,"[""2023-03-10 18:26:03"",""2023-03-10 18:26:03""]","{""src"": ""dependency_mapping"", ""port"": ""443"", ""num_packets"": 24}"
ip_dependency_client,10.100.46.22,192.168.3.70,1,"[""2023-03-10 18:26:03"",""2023-03-10 18:26:03""]","{""src"": ""dependency_mapping"", ""port"": ""443"", ""num_packets"": 24}"
ip_dependency_server,10.100.33.25,10.100.30.242,1,"[""2023-03-10 18:26:02"",""2023-03-10 18:26:02""]","{""src"": ""dependency_mapping"", ""port"": ""666"", ""num_packets"": 279}"
ip_dependency_client,10.100.30.242,10.100.33.25,1,"[""2023-03-10 18:26:02"",""2023-03-10 18:26:02""]","{""src"": ""dependency_mapping"", ""port"": ""666"", ""num_packets"": 279}"
ip_dependency_server,10.100.32.151,10.100.30.242,1,"[""2023-03-10 18:26:02"",""2023-03-10 18:26:02""]","{""src"": ""dependency_mapping"", ""port"": ""2222"", ""num_packets"": 279}"
ip_dependency_client,10.100.30.242,10.100.32.151,1,"[""2023-03-10 18:26:02"",""2023-03-10 18:26:02""]","{""src"": ""dependency_mapping"", ""port"": ""2222"", ""num_packets"": 279}"
ip_dependency_server,10.100.32.30,10.100.30.242,1,"[""2023-03-10 18:26:02"",""2023-03-10 18:26:02""]","{""src"": ""dependency_mapping"", ""port"": ""666"", ""num_packets"": 279}"
ip_dependency_client,10.100.30.242,10.100.32.30,1,"[""2023-03-10 18:26:02"",""2023-03-10 18:26:02""]","{""src"": ""dependency_mapping"", ""port"": ""666"", ""num_packets"": 279}"
ip_dependency_server,10.100.33.22,10.100.30.242,1,"[""2023-03-10 18:26:02"",""2023-03-10 18:26:02""]","{""src"": ""dependency_mapping"", ""port"": ""666"", ""num_packets"": 279}"
ip_dependency_client,10.100.30.242,10.100.33.22,1,"[""2023-03-10 18:26:02"",""2023-03-10 18:26:02""]","{""src"": ""dependency_mapping"", ""port"": ""666"", ""num_packets"": 279}"
ip_dependency_server,10.100.64.21,10.100.16.30,1,"[""2023-03-10 18:26:04"",""2023-03-10 18:26:14""]","{""src"": ""dependency_mapping"", ""port"": ""9080"", ""num_packets"": 48}"
ip_dependency_client,10.100.16.30,10.100.64.21,1,"[""2023-03-10 18:26:04"",""2023-03-10 18:26:14""]","{""src"": ""dependency_mapping"", ""port"": ""9080"", ""num_packets"": 48}"
ip_dependency_server,ff02::1:2,fe80::188a:c432:b369:d331,1,"[""2023-03-10 18:26:03"",""2023-03-10 18:26:03""]","{""src"": ""dependency_mapping"", ""port"": ""547"", ""num_packets"": 7}"
ip_dependency_client,fe80::188a:c432:b369:d331,ff02::1:2,1,"[""2023-03-10 18:26:03"",""2023-03-10 18:26:03""]","{""src"": ""dependency_mapping"", ""port"": ""547"", ""num_packets"": 7}"
ip_dependency_server,10.100.40.22,10.100.40.24,1,"[""2023-03-10 18:26:06"",""2023-03-10 18:26:06""]","{""src"": ""dependency_mapping"", ""port"": ""2210"", ""num_packets"": 30}"
ip_dependency_client,10.100.40.24,10.100.40.22,1,"[""2023-03-10 18:26:06"",""2023-03-10 18:26:06""]","{""src"": ""dependency_mapping"", ""port"": ""2210"", ""num_packets"": 30}"
ip_dependency_server,10.100.32.26,10.100.30.242,1,"[""2023-03-10 18:26:02"",""2023-03-10 18:26:02""]","{""src"": ""dependency_mapping"", ""port"": ""666"", ""num_packets"": 279}"
ip_dependency_client,10.100.30.242,10.100.32.26,1,"[""2023-03-10 18:26:02"",""2023-03-10 18:26:02""]","{""src"": ""dependency_mapping"", ""port"": ""666"", ""num_packets"": 279}"
ip_dependency_server,10.100.32.129,10.100.30.242,1,"[""2023-03-10 18:26:02"",""2023-03-10 18:26:02""]","{""src"": ""dependency_mapping"", ""port"": ""666"", ""num_packets"": 279}"
ip_dependency_client,10.100.30.242,10.100.32.129,1,"[""2023-03-10 18:26:02"",""2023-03-10 18:26:02""]","{""src"": ""dependency_mapping"", ""port"": ""666"", ""num_packets"": 279}"
ip_dependency_server,192.168.111.19,192.168.3.70,1,"[""2023-03-10 18:26:02"",""2023-03-10 18:26:12""]","{""src"": ""dependency_mapping"", ""port"": ""9080"", ""num_packets"": 49}"
ip_dependency_client,192.168.3.70,192.168.111.19,1,"[""2023-03-10 18:26:02"",""2023-03-10 18:26:12""]","{""src"": ""dependency_mapping"", ""port"": ""9080"", ""num_packets"": 49}"
ip_dependency_server,162.159.200.1,10.100.34.242,1,"[""2023-03-10 18:26:05"",""2023-03-10 18:26:05""]","{""src"": ""dependency_mapping"", ""port"": ""123"", ""num_packets"": 8}"
ip_dependency_client,10.100.34.242,162.159.200.1,1,"[""2023-03-10 18:26:05"",""2023-03-10 18:26:05""]","{""src"": ""dependency_mapping"", ""port"": ""123"", ""num_packets"": 8}"
ip_dependency_server,10.100.7.26,192.168.3.70,1,"[""2023-03-10 18:26:06"",""2023-03-10 18:26:06""]","{""src"": ""dependency_mapping"", ""port"": ""389"", ""num_packets"": 78}"
ip_dependency_client,192.168.3.70,10.100.7.26,1,"[""2023-03-10 18:26:06"",""2023-03-10 18:26:06""]","{""src"": ""dependency_mapping"", ""port"": ""389"", ""num_packets"": 78}"
ip_dependency_server,162.159.200.1,10.100.58.58,1,"[""2023-03-10 18:26:05"",""2023-03-10 18:26:05""]","{""src"": ""dependency_mapping"", ""port"": ""123"", ""num_packets"": 8}"
ip_dependency_client,10.100.58.58,162.159.200.1,1,"[""2023-03-10 18:26:05"",""2023-03-10 18:26:05""]","{""src"": ""dependency_mapping"", ""port"": ""123"", ""num_packets"": 8}"
ip_dependency_server,78.108.102.237,10.100.58.58,1,"[""2023-03-10 18:26:05"",""2023-03-10 18:26:05""]","{""src"": ""dependency_mapping"", ""port"": ""123"", ""num_packets"": 4}"
ip_dependency_client,10.100.58.58,78.108.102.237,1,"[""2023-03-10 18:26:05"",""2023-03-10 18:26:05""]","{""src"": ""dependency_mapping"", ""port"": ""123"", ""num_packets"": 4}"
ip_dependency_server,78.108.102.237,10.100.34.242,1,"[""2023-03-10 18:26:06"",""2023-03-10 18:26:06""]","{""src"": ""dependency_mapping"", ""port"": ""123"", ""num_packets"": 4}"
ip_dependency_client,10.100.34.242,78.108.102.237,1,"[""2023-03-10 18:26:06"",""2023-03-10 18:26:06""]","{""src"": ""dependency_mapping"", ""port"": ""123"", ""num_packets"": 4}"
ip_dependency_server,ff02::1:2,fe80::fc2f:165d:614f:1f4e,1,"[""2023-03-10 18:26:05"",""2023-03-10 18:26:05""]","{""src"": ""dependency_mapping"", ""port"": ""547"", ""num_packets"": 2}"
ip_dependency_client,fe80::fc2f:165d:614f:1f4e,ff02::1:2,1,"[""2023-03-10 18:26:05"",""2023-03-10 18:26:05""]","{""src"": ""dependency_mapping"", ""port"": ""547"", ""num_packets"": 2}"
ip_dependency_server,10.100.58.58,10.10.9.17,1,"[""2023-03-10 18:26:10"",""2023-03-10 18:26:10""]","{""src"": ""dependency_mapping"", ""port"": ""443"", ""num_packets"": 26}"
ip_dependency_client,10.10.9.17,10.100.58.58,1,"[""2023-03-10 18:26:10"",""2023-03-10 18:26:10""]","{""src"": ""dependency_mapping"", ""port"": ""443"", ""num_packets"": 26}"
ip_dependency_server,ff02::1:2,fe80::250:56ff:febf:f78c,1,"[""2023-03-10 18:26:08"",""2023-03-10 18:26:08""]","{""src"": ""dependency_mapping"", ""port"": ""547"", ""num_packets"": 2}"
ip_dependency_client,fe80::250:56ff:febf:f78c,ff02::1:2,1,"[""2023-03-10 18:26:08"",""2023-03-10 18:26:08""]","{""src"": ""dependency_mapping"", ""port"": ""547"", ""num_packets"": 2}"
ip_dependency_server,192.168.55.12,192.168.3.70,1,"[""2023-03-10 18:26:08"",""2023-03-10 18:26:08""]","{""src"": ""dependency_mapping"", ""port"": ""9080"", ""num_packets"": 25}"
ip_dependency_client,192.168.3.70,192.168.55.12,1,"[""2023-03-10 18:26:08"",""2023-03-10 18:26:08""]","{""src"": ""dependency_mapping"", ""port"": ""9080"", ""num_packets"": 25}"
ip_dependency_server,10.100.42.78,10.100.28.41,1,"[""2023-03-10 18:26:43"",""2023-03-10 18:26:43""]","{""src"": ""dependency_mapping"", ""port"": ""22"", ""num_packets"": 600}"
ip_dependency_client,10.100.28.41,10.100.42.78,1,"[""2023-03-10 18:26:43"",""2023-03-10 18:26:43""]","{""src"": ""dependency_mapping"", ""port"": ""22"", ""num_packets"": 600}"
ip_dependency_server,78.108.102.237,10.100.56.157,1,"[""2023-03-10 18:26:14"",""2023-03-10 18:26:14""]","{""src"": ""dependency_mapping"", ""port"": ""123"", ""num_packets"": 4}"
ip_dependency_client,10.100.56.157,78.108.102.237,1,"[""2023-03-10 18:26:14"",""2023-03-10 18:26:14""]","{""src"": ""dependency_mapping"", ""port"": ""123"", ""num_packets"": 4}"
ip_dependency_server,162.159.200.1,10.100.56.157,1,"[""2023-03-10 18:26:14"",""2023-03-10 18:26:14""]","{""src"": ""dependency_mapping"", ""port"": ""123"", ""num_packets"": 8}"
ip_dependency_client,10.100.56.157,162.159.200.1,1,"[""2023-03-10 18:26:14"",""2023-03-10 18:26:14""]","{""src"": ""dependency_mapping"", ""port"": ""123"", ""num_packets"": 8}"
ip_dependency_server,192.168.55.120,192.168.3.70,1,"[""2023-03-10 18:26:15"",""2023-03-10 18:26:15""]","{""src"": ""dependency_mapping"", ""port"": ""443"", ""num_packets"": 10}"
ip_dependency_client,192.168.3.70,192.168.55.120,1,"[""2023-03-10 18:26:15"",""2023-03-10 18:26:15""]","{""src"": ""dependency_mapping"", ""port"": ""443"", ""num_packets"": 10}"
ip_dependency_server,162.159.200.1,10.100.42.53,1,"[""2023-03-10 18:26:16"",""2023-03-10 18:26:16""]","{""src"": ""dependency_mapping"", ""port"": ""123"", ""num_packets"": 8}"
ip_dependency_client,10.100.42.53,162.159.200.1,1,"[""2023-03-10 18:26:16"",""2023-03-10 18:26:16""]","{""src"": ""dependency_mapping"", ""port"": ""123"", ""num_packets"": 8}"
ip_dependency_server,255.255.255.255,0.0.0.0,1,"[""2023-03-10 18:26:08"",""2023-03-10 18:26:08""]","{""src"": ""dependency_mapping"", ""port"": ""67"", ""num_packets"": 2}"
ip_dependency_client,0.0.0.0,255.255.255.255,1,"[""2023-03-10 18:26:08"",""2023-03-10 18:26:08""]","{""src"": ""dependency_mapping"", ""port"": ""67"", ""num_packets"": 2}"
ip_dependency_server,10.100.51.26,10.100.51.25,1,"[""2023-03-10 18:26:10"",""2023-03-10 18:26:10""]","{""src"": ""dependency_mapping"", ""port"": ""2210"", ""num_packets"": 10}"
ip_dependency_client,10.100.51.25,10.100.51.26,1,"[""2023-03-10 18:26:10"",""2023-03-10 18:26:10""]","{""src"": ""dependency_mapping"", ""port"": ""2210"", ""num_packets"": 10}"
ip_dependency_server,ff02::1:2,fe80::250:56ff:febf:c39,1,"[""2023-03-10 18:26:11"",""2023-03-10 18:26:11""]","{""src"": ""dependency_mapping"", ""port"": ""547"", ""num_packets"": 2}"
ip_dependency_client,fe80::250:56ff:febf:c39,ff02::1:2,1,"[""2023-03-10 18:26:11"",""2023-03-10 18:26:11""]","{""src"": ""dependency_mapping"", ""port"": ""547"", ""num_packets"": 2}"
ip_dependency_server,78.108.102.237,10.100.42.53,1,"[""2023-03-10 18:26:16"",""2023-03-10 18:26:16""]","{""src"": ""dependency_mapping"", ""port"": ""123"", ""num_packets"": 4}"
ip_dependency_client,10.100.42.53,78.108.102.237,1,"[""2023-03-10 18:26:16"",""2023-03-10 18:26:16""]","{""src"": ""dependency_mapping"", ""port"": ""123"", ""num_packets"": 4}"
ip_dependency_server,10.100.56.50,10.100.56.51,1,"[""2023-03-10 18:26:11"",""2023-03-10 18:26:11""]","{""src"": ""dependency_mapping"", ""port"": ""2210"", ""num_packets"": 10}"
ip_dependency_client,10.100.56.51,10.100.56.50,1,"[""2023-03-10 18:26:11"",""2023-03-10 18:26:11""]","{""src"": ""dependency_mapping"", ""port"": ""2210"", ""num_packets"": 10}"
ip_dependency_server,ff02::1:2,fe80::210:74ff:fe67:47a6,1,"[""2023-03-10 18:26:15"",""2023-03-10 18:26:15""]","{""src"": ""dependency_mapping"", ""port"": ""547"", ""num_packets"": 2}"
ip_dependency_client,fe80::210:74ff:fe67:47a6,ff02::1:2,1,"[""2023-03-10 18:26:15"",""2023-03-10 18:26:15""]","{""src"": ""dependency_mapping"", ""port"": ""547"", ""num_packets"": 2}"
ip_dependency_server,77.48.28.248,10.100.42.54,1,"[""2023-03-10 18:26:15"",""2023-03-10 18:26:15""]","{""src"": ""dependency_mapping"", ""port"": ""123"", ""num_packets"": 2}"
ip_dependency_client,10.100.42.54,77.48.28.248,1,"[""2023-03-10 18:26:15"",""2023-03-10 18:26:15""]","{""src"": ""dependency_mapping"", ""port"": ""123"", ""num_packets"": 2}"
ip_dependency_server,10.100.42.54,77.48.28.248,1,"[""2023-03-10 18:26:15"",""2023-03-10 18:26:15""]","{""src"": ""dependency_mapping"", ""port"": ""123"", ""num_packets"": 2}"
ip_dependency_client,77.48.28.248,10.100.42.54,1,"[""2023-03-10 18:26:15"",""2023-03-10 18:26:15""]","{""src"": ""dependency_mapping"", ""port"": ""123"", ""num_packets"": 2}"
ip_dependency_server,78.108.102.237,10.100.56.31,1,"[""2023-03-10 18:26:15"",""2023-03-10 18:26:15""]","{""src"": ""dependency_mapping"", ""port"": ""123"", ""num_packets"": 4}"
ip_dependency_client,10.100.56.31,78.108.102.237,1,"[""2023-03-10 18:26:15"",""2023-03-10 18:26:15""]","{""src"": ""dependency_mapping"", ""port"": ""123"", ""num_packets"": 4}"
ip_dependency_server,162.159.200.1,10.100.56.31,1,"[""2023-03-10 18:26:15"",""2023-03-10 18:26:15""]","{""src"": ""dependency_mapping"", ""port"": ""123"", ""num_packets"": 8}"
ip_dependency_client,10.100.56.31,162.159.200.1,1,"[""2023-03-10 18:26:15"",""2023-03-10 18:26:15""]","{""src"": ""dependency_mapping"", ""port"": ""123"", ""num_packets"": 8}"
ip_dependency_server,192.168.55.106,192.168.3.70,1,"[""2023-03-10 18:26:13"",""2023-03-10 18:26:13""]","{""src"": ""dependency_mapping"", ""port"": ""443"", ""num_packets"": 25}"
ip_dependency_client,192.168.3.70,192.168.55.106,1,"[""2023-03-10 18:26:13"",""2023-03-10 18:26:13""]","{""src"": ""dependency_mapping"", ""port"": ""443"", ""num_packets"": 25}"
ip_dependency_server,162.159.200.123,10.100.56.157,1,"[""2023-03-10 18:26:15"",""2023-03-10 18:26:15""]","{""src"": ""dependency_mapping"", ""port"": ""123"", ""num_packets"": 8}"
ip_dependency_client,10.100.56.157,162.159.200.123,1,"[""2023-03-10 18:26:15"",""2023-03-10 18:26:15""]","{""src"": ""dependency_mapping"", ""port"": ""123"", ""num_packets"": 8}"
ip_dependency_server,78.108.102.237,10.100.42.22,1,"[""2023-03-10 18:26:17"",""2023-03-10 18:26:17""]","{""src"": ""dependency_mapping"", ""port"": ""123"", ""num_packets"": 4}"
ip_dependency_client,10.100.42.22,78.108.102.237,1,"[""2023-03-10 18:26:17"",""2023-03-10 18:26:17""]","{""src"": ""dependency_mapping"", ""port"": ""123"", ""num_packets"": 4}"
ip_dependency_server,78.108.102.237,10.100.38.242,1,"[""2023-03-10 18:26:16"",""2023-03-10 18:26:16""]","{""src"": ""dependency_mapping"", ""port"": ""123"", ""num_packets"": 4}"
ip_dependency_client,10.100.38.242,78.108.102.237,1,"[""2023-03-10 18:26:16"",""2023-03-10 18:26:16""]","{""src"": ""dependency_mapping"", ""port"": ""123"", ""num_packets"": 4}"
ip_dependency_server,81.25.28.124,10.100.56.157,1,"[""2023-03-10 18:26:14"",""2023-03-10 18:26:14""]","{""src"": ""dependency_mapping"", ""port"": ""123"", ""num_packets"": 8}"
ip_dependency_client,10.100.56.157,81.25.28.124,1,"[""2023-03-10 18:26:14"",""2023-03-10 18:26:14""]","{""src"": ""dependency_mapping"", ""port"": ""123"", ""num_packets"": 8}"
ip_dependency_server,10.100.32.26,10.100.32.28,1,"[""2023-03-10 18:26:13"",""2023-03-10 18:26:13""]","{""src"": ""dependency_mapping"", ""port"": ""2210"", ""num_packets"": 10}"
ip_dependency_client,10.100.32.28,10.100.32.26,1,"[""2023-03-10 18:26:13"",""2023-03-10 18:26:13""]","{""src"": ""dependency_mapping"", ""port"": ""2210"", ""num_packets"": 10}"
ip_dependency_server,162.159.200.1,10.100.42.22,1,"[""2023-03-10 18:26:16"",""2023-03-10 18:26:16""]","{""src"": ""dependency_mapping"", ""port"": ""123"", ""num_packets"": 8}"
ip_dependency_client,10.100.42.22,162.159.200.1,1,"[""2023-03-10 18:26:16"",""2023-03-10 18:26:16""]","{""src"": ""dependency_mapping"", ""port"": ""123"", ""num_packets"": 8}"
ip_dependency_server,162.159.200.1,10.100.38.242,1,"[""2023-03-10 18:26:16"",""2023-03-10 18:26:16""]","{""src"": ""dependency_mapping"", ""port"": ""123"", ""num_packets"": 8}"
ip_dependency_client,10.100.38.242,162.159.200.1,1,"[""2023-03-10 18:26:16"",""2023-03-10 18:26:16""]","{""src"": ""dependency_mapping"", ""port"": ""123"", ""num_packets"": 8}"
ip_dependency_server,81.25.28.124,10.100.42.53,1,"[""2023-03-10 18:26:15"",""2023-03-10 18:26:15""]","{""src"": ""dependency_mapping"", ""port"": ""123"", ""num_packets"": 8}"
ip_dependency_client,10.100.42.53,81.25.28.124,1,"[""2023-03-10 18:26:15"",""2023-03-10 18:26:15""]","{""src"": ""dependency_mapping"", ""port"": ""123"", ""num_packets"": 8}"
ip_dependency_server,162.159.200.123,10.100.42.53,1,"[""2023-03-10 18:26:16"",""2023-03-10 18:26:16""]","{""src"": ""dependency_mapping"", ""port"": ""123"", ""num_packets"": 8}"
ip_dependency_client,10.100.42.53,162.159.200.123,1,"[""2023-03-10 18:26:16"",""2023-03-10 18:26:16""]","{""src"": ""dependency_mapping"", ""port"": ""123"", ""num_packets"": 8}"
ip_dependency_server,ff02::1:2,fe80::e2e3:36d5:69c4:e4c4,1,"[""2023-03-10 18:26:18"",""2023-03-10 18:26:18""]","{""src"": ""dependency_mapping"", ""port"": ""547"", ""num_packets"": 2}"
ip_dependency_client,fe80::e2e3:36d5:69c4:e4c4,ff02::1:2,1,"[""2023-03-10 18:26:18"",""2023-03-10 18:26:18""]","{""src"": ""dependency_mapping"", ""port"": ""547"", ""num_packets"": 2}"
ip_dependency_server,162.159.200.123,10.100.56.31,1,"[""2023-03-10 18:26:15"",""2023-03-10 18:26:15""]","{""src"": ""dependency_mapping"", ""port"": ""123"", ""num_packets"": 8}"
ip_dependency_client,10.100.56.31,162.159.200.123,1,"[""2023-03-10 18:26:15"",""2023-03-10 18:26:15""]","{""src"": ""dependency_mapping"", ""port"": ""123"", ""num_packets"": 8}"
ip_dependency_server,81.25.28.124,10.100.56.31,1,"[""2023-03-10 18:26:14"",""2023-03-10 18:26:14""]","{""src"": ""dependency_mapping"", ""port"": ""123"", ""num_packets"": 8}"
ip_dependency_client,10.100.56.31,81.25.28.124,1,"[""2023-03-10 18:26:14"",""2023-03-10 18:26:14""]","{""src"": ""dependency_mapping"", ""port"": ""123"", ""num_packets"": 8}"
ip_dependency_server,162.159.200.1,10.100.51.26,1,"[""2023-03-10 18:26:21"",""2023-03-10 18:26:21""]","{""src"": ""dependency_mapping"", ""port"": ""123"", ""num_packets"": 8}"
ip_dependency_client,10.100.51.26,162.159.200.1,1,"[""2023-03-10 18:26:21"",""2023-03-10 18:26:21""]","{""src"": ""dependency_mapping"", ""port"": ""123"", ""num_packets"": 8}"
ip_dependency_server,162.159.200.123,10.100.38.242,1,"[""2023-03-10 18:26:16"",""2023-03-10 18:26:16""]","{""src"": ""dependency_mapping"", ""port"": ""123"", ""num_packets"": 8}"
ip_dependency_client,10.100.38.242,162.159.200.123,1,"[""2023-03-10 18:26:16"",""2023-03-10 18:26:16""]","{""src"": ""dependency_mapping"", ""port"": ""123"", ""num_packets"": 8}"
ip_dependency_server,162.159.200.123,10.100.42.22,1,"[""2023-03-10 18:26:17"",""2023-03-10 18:26:17""]","{""src"": ""dependency_mapping"", ""port"": ""123"", ""num_packets"": 4}"
ip_dependency_client,10.100.42.22,162.159.200.123,1,"[""2023-03-10 18:26:17"",""2023-03-10 18:26:17""]","{""src"": ""dependency_mapping"", ""port"": ""123"", ""num_packets"": 4}"
http_useragent,52.1.34.202,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Headless",1,"[""2023-03-10 18:26:30"",""2023-03-10 18:26:58""]","{""src"": ""http_useragent""}"
http_useragent,10.100.46.22,Prometheus/2.46.0,1,"[""2023-03-10 18:26:30"",""2023-03-10 18:26:58""]","{""src"": ""http_useragent""}"
in_flow_tags,2a00:fea0:dead::beef,NETWORKSERVICE:ntp,1,"[""2023-03-10 18:26:17"",""2023-03-10 18:26:17""]","{""src"": ""flow_classifier""}"
in_flow_tags,2606:4700:50::adf5:3a87,NETWORKSERVICE:ntp,1,"[""2023-03-10 18:26:27"",""2023-03-10 18:26:27""]","{""src"": ""flow_classifier""}"
in_flow_tags,2600:9000:5302:ec00::1,NETWORKSERVICE:ntp,1,"[""2023-03-10 18:26:17"",""2023-03-10 18:26:18""]","{""src"": ""flow_classifier""}"
in_flow_tags,2a02:598:4444::4,NETWORKSERVICE:ntp,1,"[""2023-03-10 18:26:23"",""2023-03-10 18:26:23""]","{""src"": ""flow_classifier""}"
in_flow_tags,2001:19f0:5001:1caf:5400:1ff:fec5:8d50,NETWORKSERVICE:ntp,1,"[""2023-03-10 18:26:17"",""2023-03-10 18:26:17""]","{""src"": ""flow_classifier""}"
in_flow_tags,2603:1061:0:700::9,NETWORKSERVICE:ntp,1,"[""2023-03-10 18:26:20"",""2023-03-10 18:26:20""]","{""src"": ""flow_classifier""}"
in_flow_tags,10.99.28.25,WEB:https,1,"[""2023-03-10 18:26:03"",""2023-03-10 18:26:19""]","{""src"": ""flow_classifier""}"
in_flow_tags,10.100.42.22,NETWORKSERVICE:ntp,1,"[""2023-03-10 18:26:10"",""2023-03-10 18:26:17""]","{""src"": ""flow_classifier""}"
in_flow_tags,2603:1061:0:700::3,NETWORKSERVICE:ntp,1,"[""2023-03-10 18:26:14"",""2023-03-10 18:26:14""]","{""src"": ""flow_classifier""}"
in_flow_tags,10.100.32.143,NETWORKSERVICE:ntp,1,"[""2023-03-10 18:26:13"",""2023-03-10 18:26:13""]","{""src"": ""flow_classifier""}"
in_flow_tags,2620:1ec:bda:700::1,NETWORKSERVICE:ntp,1,"[""2023-03-10 18:26:14"",""2023-03-10 18:26:14""]","{""src"": ""flow_classifier""}"
in_flow_tags,10.100.52.21,NETWORKSERVICE:ntp,1,"[""2023-03-10 18:26:47"",""2023-03-10 18:26:47""]","{""src"": ""flow_classifier""}"
in_flow_tags,10.100.56.31,NETWORKSERVICE:ntp,1,"[""2023-03-10 18:26:08"",""2023-03-10 18:26:15""]","{""src"": ""flow_classifier""}"
in_flow_tags,2a01:8840:9e::17,NETWORKSERVICE:ntp,1,"[""2023-03-10 18:26:21"",""2023-03-10 18:26:21""]","{""src"": ""flow_classifier""}"
in_flow_tags,10.100.42.54,NETWORKSERVICE:ntp,1,"[""2023-03-10 18:26:14"",""2023-03-10 18:26:24""]","{""src"": ""flow_classifier""}"
in_flow_tags,10.100.51.25,NETWORKSERVICE:dns,1,"[""2023-03-10 18:26:10"",""2023-03-10 18:26:20""]","{""src"": ""flow_classifier""}"
in_flow_tags,255.255.255.255,NETWORKSERVICE:ntp,1,"[""2023-03-10 18:26:08"",""2023-03-10 18:26:08""]","{""src"": ""flow_classifier""}"
in_flow_tags,2001:13c7:7002:3000::14,NETWORKSERVICE:ntp,1,"[""2023-03-10 18:26:23"",""2023-03-10 18:26:23""]","{""src"": ""flow_classifier""}"
in_flow_tags,2603:1061:0:700::c9,NETWORKSERVICE:ntp,1,"[""2023-03-10 18:26:10"",""2023-03-10 18:26:10""]","{""src"": ""flow_classifier""}"
in_flow_tags,10.100.42.78,REMOTE:ssh,1,"[""2023-03-10 18:20:43"",""2023-03-10 18:26:43""]","{""src"": ""flow_classifier""}"
in_flow_tags,10.100.28.41,WEB:https,1,"[""2023-03-10 18:20:43"",""2023-03-10 18:26:51""]","{""src"": ""flow_classifier""}"
in_flow_tags,10.100.28.41,REMOTE:telnet,1,"[""2023-03-10 18:20:43"",""2023-03-10 18:26:51""]","{""src"": ""flow_classifier""}"
in_flow_tags,10.100.28.41,NETWORKSERVICE:ntp,1,"[""2023-03-10 18:20:43"",""2023-03-10 18:26:51""]","{""src"": ""flow_classifier""}"
in_flow_tags,2001:500:48::1,NETWORKSERVICE:ntp,1,"[""2023-03-10 18:26:06"",""2023-03-10 18:26:06""]","{""src"": ""flow_classifier""}"
in_flow_tags,2001:500:127::30,NETWORKSERVICE:ntp,1,"[""2023-03-10 18:26:09"",""2023-03-10 18:26:09""]","{""src"": ""flow_classifier""}"
in_flow_tags,10.100.44.21,WEB:http,1,"[""2023-03-10 18:26:21"",""2023-03-10 18:26:21""]","{""src"": ""flow_classifier""}"
in_flow_tags,2600:9000:5305:f600::1,NETWORKSERVICE:ntp,1,"[""2023-03-10 18:26:06"",""2023-03-10 18:26:06""]","{""src"": ""flow_classifier""}"
in_flow_tags,2a01:111:4000:700::2,NETWORKSERVICE:ntp,1,"[""2023-03-10 18:26:14"",""2023-03-10 18:26:14""]","{""src"": ""flow_classifier""}"
in_flow_tags,2600:9000:5302:6f00::1,NETWORKSERVICE:ntp,1,"[""2023-03-10 18:26:11"",""2023-03-10 18:26:11""]","{""src"": ""flow_classifier""}"
in_flow_tags,77.48.28.248,NETWORKSERVICE:ntp,1,"[""2023-03-10 18:26:11"",""2023-03-10 18:26:15""]","{""src"": ""flow_classifier""}"
in_flow_tags,192.168.3.70,MAIL:pop3,1,"[""2023-03-10 18:20:45"",""2023-03-10 18:26:24""]","{""src"": ""flow_classifier""}"
in_flow_tags,192.168.3.70,WEB:https,1,"[""2023-03-10 18:20:45"",""2023-03-10 18:26:24""]","{""src"": ""flow_classifier""}"
in_flow_tags,192.168.3.70,NETWORKSERVICE:ntp,1,"[""2023-03-10 18:20:45"",""2023-03-10 18:26:24""]","{""src"": ""flow_classifier""}"
in_flow_tags,192.168.3.70,MAIL:smtp,1,"[""2023-03-10 18:20:45"",""2023-03-10 18:26:24""]","{""src"": ""flow_classifier""}"
in_flow_tags,2603:1061:0:700::4,NETWORKSERVICE:ntp,1,"[""2023-03-10 18:26:16"",""2023-03-10 18:26:16""]","{""src"": ""flow_classifier""}"
