type,key,value,reliability,validity,details
ip_dependency_client,10.100.28.41,20.31.196.184,1,"[""2023-03-10 18:25:59"",""2023-03-10 18:25:59""]","{""src"": ""dependency_mapping"", ""port"": ""443"", ""num_packets"": 27}"
tags_by_services,192.168.55.106,"{""WEB Server:443""}",1,"[""2023-03-10 18:26:13"",""2023-03-10 18:26:13""]","{""src"": ""service_labels""}"
ip_dependency_server,10.100.58.58,10.10.9.16,1,"[""2023-03-10 18:25:57"",""2023-03-10 18:25:57""]","{""src"": ""dependency_mapping"", ""port"": ""443"", ""num_packets"": 22}"
tags_by_services,fe80::e2e3:36d5:69c4:e4c4,"{""DHCP Client:546""}",1,"[""2023-03-10 18:26:18"",""2023-03-10 18:26:18""]","{""src"": ""service_labels""}"
ip_dependency_client,10.10.9.16,10.100.58.58,1,"[""2023-03-10 18:25:57"",""2023-03-10 18:25:57""]","{""src"": ""dependency_mapping"", ""port"": ""443"", ""num_packets"": 22}"
ip_dependency_server,10.100.32.28,10.100.32.26,1,"[""2023-03-10 18:26:00"",""2023-03-10 18:26:20""]","{""src"": ""dependency_mapping"", ""port"": ""2210"", ""num_packets"": 40}"
ip_dependency_client,10.100.32.26,10.100.32.28,1,"[""2023-03-10 18:26:00"",""2023-03-10 18:26:20""]","{""src"": ""dependency_mapping"", ""port"": ""2210"", ""num_packets"": 40}"
ip_dependency_server,34.36.213.229,10.100.42.53,1,"[""2023-03-10 18:25:55"",""2023-03-10 18:25:55""]","{""src"": ""dependency_mapping"", ""port"": ""443"", ""num_packets"": 143}"
ip_dependency_client,10.100.42.53,34.36.213.229,1,"[""2023-03-10 18:25:55"",""2023-03-10 18:25:55""]","{""src"": ""dependency_mapping"", ""port"": ""443"", ""num_packets"": 143}"
ip_dependency_server,34.149.155.70,10.100.42.53,1,"[""2023-03-10 18:25:55"",""2023-03-10 18:25:55""]","{""src"": ""dependency_mapping"", ""port"": ""443"", ""num_packets"": 147}"
ip_dependency_client,10.100.42.53,34.149.155.70,1,"[""2023-03-10 18:25:55"",""2023-03-10 18:25:55""]","{""src"": ""dependency_mapping"", ""port"": ""443"", ""num_packets"": 147}"
ip_dependency_server,192.168.55.104,192.168.3.70,1,"[""2023-03-10 18:25:59"",""2023-03-10 18:26:19""]","{""src"": ""dependency_mapping"", ""port"": ""9080"", ""num_packets"": 61}"
