App,JA3,Host,Sni,Subject
WhatsApp,28A2C9BD18A11DE089EF85A160DA29E4,whatsapp.com,media-prg1-1.cdn.whatsapp.net,*.whatsapp.net
WhatsApp,28A2C9BD18A11DE089EF85A160DA29E4,whatsapp.com,mmg.whatsapp.net,*.whatsapp.net
