App,Jas3,Host,Sni,Subject
firefox,579CCEF312D18482FC42E2B822CA2430,,clck.dzen.ru,*.dzen.ru
firefox,579CCEF312D18482FC42E2B822CA2430,static.twitchcdn.net,static.twitchcdn.net,
firefox,,,,
firefox,579CCEF312D18482FC42E2B822CA2430,pubsub-edge.twitch.tv,pubsub-edge.twitch.tv,pubsub-edge.twitch.tv
firefox,579CCEF312D18482FC42E2B822CA2430,video-edge-75dc8d.pdx01.abs.hls.ttvnw.net,video-edge-75dc8d.pdx01.abs.hls.ttvnw.net,spade.twitch.tv
firefox,,,,
firefox,579CCEF312D18482FC42E2B822CA2430,,web.vortex-extended.data.microsoft.com,*.vortex.data.microsoft.com
firefox,579CCEF312D18482FC42E2B822CA2430,static.twitchcdn.net,static.twitchcdn.net,
firefox,579CCEF312D18482FC42E2B822CA2430,static.twitchcdn.net,static.twitchcdn.net,
firefox,579CCEF312D18482FC42E2B822CA2430,k.twitchcdn.net,k.twitchcdn.net,
firefox,,,,
firefox,,prod.ingestion-edge.prod.dataops.mozgcp.net,,
firefox,,,,
firefox,579CCEF312D18482FC42E2B822CA2430,p.twitchcdn.net,p.twitchcdn.net,
firefox,,,,
firefox,,,,
firefox,,,,
firefox,,,,
firefox,,,,
firefox,,,,
firefox,,,,
firefox,579CCEF312D18482FC42E2B822CA2430,passport.twitch.tv,passport.twitch.tv,
firefox,,,,
firefox,579CCEF312D18482FC42E2B822CA2430,k.twitchcdn.net,gql.twitch.tv,
firefox,E669667EFB41C36F714C309243F41CA7,j.clarity.ms,j.clarity.ms,a.clarity.ms
firefox,579CCEF312D18482FC42E2B822CA2430,static.twitchcdn.net,static.twitchcdn.net,
firefox,579CCEF312D18482FC42E2B822CA2430,static.twitchcdn.net,static.twitchcdn.net,
firefox,579CCEF312D18482FC42E2B822CA2430,k.twitchcdn.net,www.twitch.tv,
firefox,579CCEF312D18482FC42E2B822CA2430,clips-media-assets2.twitch.tv,clips-media-assets2.twitch.tv,
firefox,579CCEF312D18482FC42E2B822CA2430,clips-media-assets2.twitch.tv,clips-media-assets2.twitch.tv,
firefox,579CCEF312D18482FC42E2B822CA2430,clips-media-assets2.twitch.tv,clips-media-assets2.twitch.tv,
firefox,,video-edge-75dc8d.pdx01.abs.hls.ttvnw.net,,
firefox,C279B0189EDB9269DA7BC43DEA5E0C36,static.twitchcdn.net,static.twitchcdn.net,
firefox,579CCEF312D18482FC42E2B822CA2430,static.twitchcdn.net,static.twitchcdn.net,
firefox,579CCEF312D18482FC42E2B822CA2430,static.twitchcdn.net,static.twitchcdn.net,
firefox,579CCEF312D18482FC42E2B822CA2430,static.twitchcdn.net,static.twitchcdn.net,
firefox,579CCEF312D18482FC42E2B822CA2430,static.twitchcdn.net,static.twitchcdn.net,
firefox,579CCEF312D18482FC42E2B822CA2430,k.twitchcdn.net,gql.twitch.tv,
firefox,C279B0189EDB9269DA7BC43DEA5E0C36,k.twitchcdn.net,gql.twitch.tv,
firefox,579CCEF312D18482FC42E2B822CA2430,k.twitchcdn.net,gql.twitch.tv,
firefox,579CCEF312D18482FC42E2B822CA2430,video-edge-2357fa.prg03.abs.hls.ttvnw.net,video-edge-2357fa.prg03.abs.hls.ttvnw.net,
firefox,579CCEF312D18482FC42E2B822CA2430,sb.scorecardresearch.com,sb.scorecardresearch.com,
firefox,579CCEF312D18482FC42E2B822CA2430,global.poe.live-video.net,global.poe.live-video.net,
firefox,579CCEF312D18482FC42E2B822CA2430,video-weaver.prg03.hls.ttvnw.net,video-weaver.prg03.hls.ttvnw.net,
firefox,C279B0189EDB9269DA7BC43DEA5E0C36,,contile.services.mozilla.com,
firefox,,top-fwz1.mail.ru,,
firefox,579CCEF312D18482FC42E2B822CA2430,instagram.com,www.instagram.com,
firefox,579CCEF312D18482FC42E2B822CA2430,instagram.com,instagram.com,
firefox,FBCC1D86F1211D29DCA4858F89E44997,firefox.settings.services.mozilla.com,firefox.settings.services.mozilla.com,
firefox,,d2v02itv0y9u9t.cloudfront.net,,
firefox,,,,
firefox,,sb.scorecardresearch.com,,
firefox,579CCEF312D18482FC42E2B822CA2430,global.poe.live-video.net,global.poe.live-video.net,
firefox,579CCEF312D18482FC42E2B822CA2430,sb.scorecardresearch.com,sb.scorecardresearch.com,
firefox,579CCEF312D18482FC42E2B822CA2430,p.twitchcdn.net,p.twitchcdn.net,
